  id   |    word    |   category   | difficulty 
-------+------------+--------------+------------
   887 | 흄         | 인문         |          4
  4055 | 강         | 자연과학     |          1
  4336 | 웹         | 사회         |          2
  4339 | 앱         | 사회         |          1
  4678 | 달         | 자연과학     |          1
  5136 | 핵         | 자연과학     |          2
  5723 | 납         | 자연과학     |          3
  6317 | 산         | 자연과학     |          1
  6935 | 줌         | 예술         |          3
  7187 | 차         | 의학/보건    |          1
  7194 | 콩         | 의학/보건    |          2
  7357 | 면         | 예술         |          2
 10488 | 댐         | 공학         |          2
 10831 | 빵         | 의학/보건    |          4
 10841 | 묵         | 의학/보건    |          3
 10843 | 햄         | 의학/보건    |          2
 10855 | 쌀         | 의학/보건    |          1
 10856 | 밀         | 의학/보건    |          3
 10865 | 파         | 의학/보건    |          3
 12019 | 숲         | 사회         |          2
 12391 | 힘         | 자연과학     |          1
 12401 | 열         | 자연과학     |          1
 12402 | 일         | 자연과학     |          1
 13211 | 암         | 의학/보건    |          1
 13455 | 뇌         | 의학/보건    |          1
 15189 | 굿         | 사회         |          3
 15385 | 절         | 인문         |          2
 22906 | 투과       | 방사선학     |          3
 22907 | 의료기기   | 방사선학     |          3
 22908 | 방사선치료 | 방사선학     |          3
 22912 | 검사결과   | 방사선학     |          3
 22913 | 영상의학   | 방사선학     |          3
 22914 | 방사선안전 | 방사선학     |          4
 22915 | 유전체학   | 분자생물학   |          4
 22916 | 전사인자   | 분자생물학   |          4
 22917 | 염기서열   | 분자생물학   |          4
 22918 | 단백질체학 | 분자생물학   |          4
 22919 | 유전자발현 | 분자생물학   |          4
 22920 | 유전자변이 | 분자생물학   |          4
 22921 | 프로테아좀 | 분자생물학   |          4
 22922 | 세포주기   | 분자생물학   |          4
 22923 | 형질전환   | 분자생물학   |          4
 22924 | 왓슨-크릭  | 분자생물학   |          4
 22925 | 웨스턴블롯 | 분자생물학   |          4
 22926 | 생체시계   | 분자생물학   |          4
 22927 | 자가포식   | 분자생물학   |          4
 22928 | 스캠       | 경찰행정학   |          3
 22929 | 다크웹     | 경찰행정학   |          4
 22930 | 랜섬웨어   | 경찰행정학   |          3
 22931 | 가짜뉴스   | 경찰행정학   |          3
 22932 | 인공지능   | 경찰행정학   |          3
 22933 | 빅데이터   | 경찰행정학   |          3
 22934 | 테러       | 경찰행정학   |          3
 22935 | 보이스피싱 | 경찰행정학   |          3
 22936 | 사이버테러 | 경찰행정학   |          3
 22937 | 딥페이크   | 경찰행정학   |          3
 22938 | 메타버스   | 경찰행정학   |          3
 22939 | 코인       | 경찰행정학   |          3
 22940 | 암호화폐   | 경찰행정학   |          4
 22941 | 해킹       | 경찰행정학   |          3
 22942 | 그루밍     | 경찰행정학   |          3
 22944 | 색채학     | 시각디자인학 |          4
 22945 | 시각언어   | 시각디자인학 |          4
 22946 | 정보디자인 | 시각디자인학 |          4
 22947 | 사인디자인 | 시각디자인학 |          3
 22948 | 공간디자인 | 시각디자인학 |          3
 22949 | 웹디자인   | 시각디자인학 |          2
 22950 | 모션그래픽 | 시각디자인학 |          3
 22951 | 디지털아트 | 시각디자인학 |          3
 22952 | 가독성     | 시각디자인학 |          3
 22953 | 여행객     | 항공서비스학 |          2
 22954 | 안내방송   | 항공서비스학 |          3
 22955 | 램프       | 항공서비스학 |          2
 22956 | 스튜어디스 | 항공서비스학 |          3
 22957 | 예약       | 항공서비스학 |          2
 22958 | 환승       | 항공서비스학 |          3
 22959 | 지연       | 항공서비스학 |          3
 22960 | 다리       | 작업치료학   |          2
 22961 | 움직임     | 작업치료학   |          2
 22962 | 기능       | 작업치료학   |          3
 22963 | 재활       | 작업치료학   |          3
 22964 | 환자       | 작업치료학   |          1
